name,diet,period_name,period_year(million_years_ago),continent,lived_in,type,length,named_by,Altura,Peso,_merge
brachiosaurus,herbivorous,Late Jurassic,155-140,América del Norte,USA,sauropod,30.0,Riggs (1903),9.4 metros,52600 kilos,both
brachylophosaurus,herbivorous,Late Cretaceous,89-88,América del Norte,USA,euornithopod,7.0,C. M. Sternberg (1953),2.8 metros,6990 kilos,both
brachytrachelopan,herbivorous,Mid Jurassic,150,America del Sur,Argentina,sauropod,10.0,Rauhut Remes Fechner Cladera and Puerta (2005),,9000 kilos,both
buitreraptor,carnivorous,Late Cretaceous,99-90,America del Sur,Argentina,small theropod,1.3,Makovicky Apesteguía &amp; Agnolin (2005),2.4 metros,3 kilos,both
camarasaurus,herbivorous,Late Jurassic,150-140,América del Norte,USA,sauropod,23.0,Cope (1877),4.6 metros,20000 kilos,both
camptosaurus,herbivorous,Late Jurassic,155-145,América del Norte,USA,euornithopod,5.0,Marsh (1885),2 metros,2500 kilos,both
carcharodontosaurus,carnivorous,Late Cretaceous,98-94,Africa,North Africa,large theropod,15.0,Stromer (1931),4.3 metros,15000 kilos,both
carnotaurus,carnivorous,Late Cretaceous,70,America del Sur,Argentina,large theropod,7.6,Bonaparte (1985),3 metros,1350 kilos,both
caudipteryx,omnivorous,Early Cretaceous,125-122,Asia,China,small theropod,1.0,Ji Currie Norell and Ji. (1998),0.7 metros,7 kilos,both
cedarpelta,herbivorous,Early Cretaceous,142-127,América del Norte,USA,armoured dinosaur,10.0,Carpenter Kirkland Burge and Bird (2001),3 metros,5000 kilos,both
centrosaurus,herbivorous,Late Cretaceous,76-74,América del Norte,Canada,ceratopsian,6.0,apertus,1.8 metros,2700 kilos,both
ceratosaurus,carnivorous,Late Jurassic,153-148,América del Norte,USA,large theropod,6.0,Marsh (1884),4 metros,980 kilos,both
cetiosauriscus,herbivorous,Mid Jurassic,175-160,Europa,United Kingdom,sauropod,15.0,von Huene (1927),1.36 metros,8900 kilos,both
cetiosaurus,herbivorous,Mid Jurassic,170-160,Europa,United Kingdom,sauropod,18.0,Phillips (1871),3 metros,11000 kilos,both
chaoyangsaurus,herbivorous,Late Jurassic,152-145,Asia,China,ceratopsian,1.1,Zhao Cheng and Xu (1999),,10 kilos,both
chasmosaurus,herbivorous,Late Cretaceous,76-74,América del Norte,Canada,ceratopsian,5.0,belli,2.5 metros,3600 kilos,both
chindesaurus,carnivorous,Late Triassic,227-210,América del Norte,USA,small theropod,4.0,Long and Murry (1995),1 metros,50 kilos,both
chinshakiangosaurus,herbivorous,Late Jurassic,159-142,Asia,China,sauropod,11.0,Yeh (1975),,,both
chirostenotes,omnivorous,Late Jurassic,79-67,América del Norte,Canada,small theropod,1.7,Gilmore (1924),1.5 metros,100 kilos,both
chubutisaurus,herbivorous,Early Cretaceous,112-99,America del Sur,Argentina,sauropod,23.0,Corro (1974),0.91 metros,10880 kilos,both
chungkingosaurus,herbivorous,Late Jurassic,159-142,Asia,China,armoured dinosaur,4.0,Dong Zhou and Zhang (1983),2 metros,1361 kilos,both
citipati,omnivorous,Late Cretaceous,81-75,Asia,Mongolia,small theropod,2.1,Clark Norell and Barsbold (2001),1.15 metros,83 kilos,both
coelophysis,carnivorous,Late Triassic,225-190,Africa,Zimbabwe,small theropod,2.0,bauri,1.25 metros,23 kilos,both
coelurus,carnivorous,Late Jurassic,155-145,América del Norte,USA,small theropod,1.8,Marsh (1879),7 metros,20 kilos,both
coloradisaurus,omnivorous,Late Triassic,221-210,America del Sur,Argentina,sauropod,4.0,Bonaparte (1978),2 metros,100 kilos,both
compsognathus,carnivorous,Late Jurassic,145-140,Europa,Germany,small theropod,0.65,Wagner (1859),3 metros,3 kilos,both
conchoraptor,carnivorous,Late Cretaceous,81-76,Asia,Mongolia,small theropod,1.5,Barsbold (1986),0.5 metros,10 kilos,both
