name,diet,period_name,period_year(million_years_ago),continent,lived_in,type,length,named_by
elaphrosaurus,carnivorous,Late Jurassic,154-151,Africa,Tanzania,large theropod,6.2,Janensch (1920)
emausaurus,herbivorous,Mid Jurassic,190-180,Europa,Germany,armoured dinosaur,2.0,Haubold (1991)
eolambia,herbivorous,Late Cretaceous,99-94,América del Norte,USA,euornithopod,6.0,Kirkland (1998)
eoraptor,carnivorous,Late Triassic,228,America del Sur,Argentina,small theropod,1.0,Sereno Forster Rogers and Monetta (1993)
eotyrannus,carnivorous,Early Cretaceous,127-121,Europa,United Kingdom,large theropod,5.0,Hutt Naish Martill Barker and Newberry (2001)
equijubus,herbivorous,Early Cretaceous,127-99,Asia,China,euornithopod,7.0,You Luo Shubin Witmer Tang and Tang (2003)
erketu,herbivorous,Early Cretaceous,,Asia,Mongolia,sauropod,15.0,Ksepka and Norell (2006)
erlikosaurus,omnivorous,Late Cretaceous,99-89,Asia,Mongolia,small theropod,3.4,Perle vide Barsbold and Perle (1980)
euhelopus,herbivorous,Late Jurassic,154-142,Asia,China,sauropod,10.0,Wiman (1929)
euoplocephalus,herbivorous,Late Cretaceous,76-70,América del Norte,USA,armoured dinosaur,7.0,tutus
europasaurus,herbivorous,Late Jurassic,154-151,Europa,Germany,sauropod,6.2,Sander Mateus Laven and Knötschke (2006)
eustreptospondylus,carnivorous,Mid Jurassic,165,Europa,United Kingdom,large theropod,7.0,Walker (1964)
fukuiraptor,carnivorous,Early Cretaceous,121-99,Asia,Japan,large theropod,4.2,Azuma and Currie (2000)
fukuisaurus,herbivorous,Early Cretaceous,121-99,Asia,Japan,euornithopod,4.7,Kobayashi and Azuma (2003)
gallimimus,omnivorous,Late Cretaceous,74-70,Asia,Mongolia,large theropod,6.0,Osmólska Roniewicz and Barsbold (1972)
gargoyleosaurus,herbivorous,Late Jurassic,154-142,América del Norte,USA,armoured dinosaur,4.0,Carpenter Miles and Cloward (1998)
garudimimus,omnivorous,Late Cretaceous,99-89,Asia,Mongolia,large theropod,4.7,Barsbold (1981)
gasosaurus,carnivorous,Mid Jurassic,170-160,Asia,China,small theropod,4.0,Dong and Tang (1985)
